variable,mean_error,max_error,std_error,mean_value,std_value,rel_error_pct
ts0580004,0.0015859460956718589,0.004088532166047543,0.001287070645178291,0.119149666454892,0.06662901367482978,1.3310537434632859
ts0590002,0.0015821531920358206,0.0029242922502874524,0.0007406714874352684,0.30460767153748414,0.07330603001617401,0.5194068764092585
ts0050034,0.001563081196353757,0.0021125932353399657,0.00042279081669438474,0.138183958068615,0.08638158734235643,1.1311596644073634
ts0660016,0.001561028510337319,0.00502719082544573,0.001670244047394062,0.01436262706480305,0.015520835636126476,10.868683725436025
ts0580009,0.0015606756213889393,0.003109746748426097,0.0010830535391198625,0.01410722151630665,0.01562117154636633,11.062955377747077
ts0030015,0.001560597140942756,0.0022334101789040633,0.0005032855178163172,0.11136566603134265,0.06961205811510987,1.4013269947162559
ts0270012,0.0015453177116482432,0.005875543411330652,0.0018148517250512097,0.0015229246082168575,0.014631123812709024,101.47040131274818
ts0050005,0.001542754402932808,0.004984739364628427,0.001739244564236432,0.059517714951291836,0.0708558745786685,2.5920927982456465
ts0210011,0.0015300672769421127,0.0024040925668563466,0.0004644866999204538,0.004673406395595087,0.011020040622808917,32.73987210665599
ts0110002,0.0015291543321440185,0.0021268983126604968,0.0005158679965803524,0.4819735969927996,0.13317834401305373,0.31726931551540216
ts0020003,0.0015288036777888828,0.0024672287271096938,0.00044156249900440756,0.4448491687844134,0.13309486093244144,0.3436678733078143
ts0290003,0.0015227616051637068,0.0023519377083616178,0.0005620915809042868,0.08363743646759848,0.10066634046649531,1.820669869232101
ts0150010,0.0015038619779144116,0.002785247135321453,0.0006982235793370926,0.014118572638712412,0.018067188486938134,10.651657333907098
ts0260006,0.0015018328694194696,0.0057343397749337124,0.0017019675024880167,0.019146828674290555,0.032363582690275484,7.843768255136993
ts0110004,0.0015012841417420455,0.0030639373605901576,0.0009694697673365176,0.1431305802626006,0.07320535800661711,1.0488912564929527
ts0370002,0.0015005510339873088,0.003616460230964069,0.0009453765509336215,0.47721756670902166,0.08697509319329953,0.31443750998844805
ts0660015,0.001498885656617458,0.004916624806562058,0.0016954842544464855,0.01564853346039814,0.01677976699928651,9.578441714111415
ts0530002,0.0014969188814443792,0.002673372083933645,0.0009528236130932261,0.46128400571791617,0.22299414991472077,0.3245113342082303
ts0540004,0.0014810676875251956,0.003290109032256461,0.0008361819821146164,0.2870199385853452,0.12853337682800967,0.5160156102133654
ts0030020,0.0014755283121171197,0.0041139920465485535,0.0012334879240616312,0.06880784095722152,0.062318735375171894,2.144418850512211
ts0650004,0.001454988839808935,0.004317707834746942,0.001159430312596275,0.24742724481152056,0.11774455494897167,0.5880471412585477
ts0230005,0.0014434003810303237,0.003834361141141676,0.0011992245939632402,0.057570314485387554,0.043057600460102444,2.5071955814948454
ts0050006,0.0014253933473886633,0.0033116532428701384,0.001105965781678022,0.05669574332909783,0.0676811540652871,2.514109990788518
ts0590007,0.0014152374375408765,0.002558449683335684,0.0007855863443767672,0.10859084603981366,0.05161702210548974,1.3032750817891179
ts0180012,0.001409921088262431,0.0039312571298456,0.0011740049231008614,0.027719012071156294,0.03187545252372687,5.086476692037518
ts0380004,0.001398507627592251,0.002853272055269418,0.0009876988499349043,0.10281220880982633,0.03270368167490631,1.360254432602549
ts0630006,0.001375381209272903,0.002867112593584825,0.0008050541829916543,0.10463833121558662,0.04670655480411893,1.3144143195854314
ts0580003,0.0013751140912467343,0.00306916596130892,0.0011700634567252048,0.12821246293943245,0.0803352180929343,1.0725276308718428
ts0520006,0.0013700847910469204,0.005320796806105501,0.0016709609046011776,0.007223702880135536,0.017519491748947753,18.966516394445254
ts0620009,0.0013621904003584626,0.0023749714439565486,0.0007141264261013001,0.08590792037272342,0.057502673874289076,1.5856400602510348
ts0530006,0.001360711253957577,0.005553388361734871,0.0016259423551851218,0.011090538966539602,0.022926624149493615,12.269117470871999
ts0180011,0.0013377839874929376,0.003722794001752676,0.0013069466735189203,0.030071712198221093,0.034021613854699706,4.44864588579055
ts0660012,0.0013278839789107144,0.0018753708756542031,0.0004294073793194179,0.04481275942397289,0.022001103618976163,2.9631827987819777
ts0660017,0.001315912208123718,0.004466384524708822,0.0014198619019336204,0.01142776365946633,0.013286931172095059,11.515045702171708
ts0500004,0.001302703732535198,0.002129949944644216,0.0006802633623607421,0.4082914495976281,0.1924386382123546,0.3190622125001674
ts0290005,0.0013016285656389677,0.003724392639002594,0.0012424044184373279,0.029715406607369762,0.03978394961299993,4.380315513892881
ts0050026,0.0012920201956252303,0.004223139156532944,0.0013009132113663074,0.010350439432443879,0.024685068932640407,12.482756930834645
ts0050029,0.0012529500348330128,0.003592500805252582,0.0012282353729537654,0.0050596516306649734,0.01258450160379987,24.763563310155046
