MSOA21CD,n_oas,n_diff,disagree_pct
E02000104,20,1,5.0
E02000105,25,2,8.0
E02000106,27,2,7.4074074074074066
E02000107,30,3,10.0
E02000108,18,1,5.555555555555555
E02000110,23,1,4.3478260869565215
E02000111,25,1,4.0
E02000112,27,1,3.7037037037037033
E02000113,26,3,11.538461538461538
E02000114,26,0,0.0
E02000115,28,2,7.142857142857142
E02000116,21,5,23.809523809523807
E02000117,34,6,17.647058823529413
E02000118,28,3,10.714285714285714
E02000119,28,1,3.571428571428571
E02000120,31,2,6.451612903225806
E02000121,29,0,0.0
E02000122,26,0,0.0
E02000123,37,1,2.7027027027027026
E02000124,28,4,14.285714285714285
E02000125,32,7,21.875
E02000126,23,1,4.3478260869565215
E02000127,30,9,30.0
E02000128,24,5,20.833333333333336
E02000130,28,2,7.142857142857142
E02000131,36,14,38.88888888888889
E02000132,38,15,39.473684210526315
E02000133,33,2,6.0606060606060606
E02000134,36,4,11.11111111111111
E02000135,33,3,9.090909090909092
E02000136,18,1,5.555555555555555
E02000137,29,8,27.586206896551722
E02000138,28,6,21.428571428571427
E02000139,26,6,23.076923076923077
E02000140,26,2,7.6923076923076925
E02000141,25,3,12.0
E02000142,25,1,4.0
E02000144,34,4,11.76470588235294
E02000145,25,6,24.0
E02000146,28,6,21.428571428571427
E02000147,26,2,7.6923076923076925
E02000148,21,4,19.047619047619047
E02000149,25,7,28.000000000000004
E02000150,25,4,16.0
E02000151,24,3,12.5
E02000152,24,2,8.333333333333332
E02000153,23,3,13.043478260869565
E02000154,27,0,0.0
E02000155,25,1,4.0
E02000156,37,3,8.108108108108109
E02000157,27,3,11.11111111111111
E02000158,24,2,8.333333333333332
E02000159,22,1,4.545454545454546
E02000160,25,3,12.0
E02000161,26,2,7.6923076923076925
E02000162,21,8,38.095238095238095
E02000163,24,3,12.5
E02000165,21,1,4.761904761904762
E02000166,28,1,3.571428571428571
E02000167,30,9,30.0
E02000168,28,7,25.0
E02000169,25,6,24.0
E02000170,26,4,15.384615384615385
E02000171,29,7,24.137931034482758
E02000172,30,0,0.0
E02000173,30,6,20.0
E02000174,28,4,14.285714285714285
E02000175,33,4,12.121212121212121
E02000176,26,2,7.6923076923076925
E02000177,27,1,3.7037037037037033
E02000178,30,1,3.3333333333333335
E02000179,22,3,13.636363636363635
E02000180,28,4,14.285714285714285
E02000181,30,3,10.0
E02000182,24,1,4.166666666666666
E02000183,30,3,10.0
E02000184,28,1,3.571428571428571
E02000185,30,1,3.3333333333333335
E02000186,21,4,19.047619047619047
E02000187,34,1,2.941176470588235
E02000188,24,1,4.166666666666666
E02000191,21,0,0.0
E02000192,26,0,0.0
E02000193,23,0,0.0
E02000194,30,10,33.33333333333333
E02000195,26,8,30.76923076923077
E02000196,22,3,13.636363636363635
E02000197,27,2,7.4074074074074066
E02000198,25,4,16.0
E02000199,25,3,12.0
E02000200,29,6,20.689655172413794
E02000201,28,2,7.142857142857142
E02000202,26,0,0.0
E02000203,24,3,12.5
E02000204,28,0,0.0
E02000206,32,1,3.125
E02000207,29,7,24.137931034482758
E02000208,30,1,3.3333333333333335
E02000209,24,1,4.166666666666666
E02000210,28,1,3.571428571428571
E02000211,26,1,3.8461538461538463
E02000212,26,1,3.8461538461538463
E02000213,36,3,8.333333333333332
E02000214,18,2,11.11111111111111
E02000215,40,5,12.5
E02000216,26,3,11.538461538461538
E02000217,35,8,22.857142857142858
E02000218,20,3,15.0
E02000219,25,5,20.0
E02000221,32,5,15.625
E02000222,27,3,11.11111111111111
E02000223,24,1,4.166666666666666
E02000224,27,6,22.22222222222222
E02000225,21,4,19.047619047619047
E02000226,23,2,8.695652173913043
E02000227,38,6,15.789473684210526
E02000228,24,1,4.166666666666666
E02000229,19,0,0.0
E02000230,33,4,12.121212121212121
E02000231,20,0,0.0
E02000232,18,3,16.666666666666664
E02000233,18,4,22.22222222222222
E02000234,26,3,11.538461538461538
E02000235,20,4,20.0
E02000236,25,0,0.0
E02000237,25,1,4.0
E02000238,26,1,3.8461538461538463
E02000239,23,0,0.0
E02000240,29,2,6.896551724137931
E02000241,19,1,5.263157894736842
E02000242,17,0,0.0
E02000243,23,0,0.0
E02000244,20,0,0.0
E02000245,25,2,8.0
E02000246,25,2,8.0
E02000247,28,1,3.571428571428571
E02000248,22,0,0.0
E02000249,21,4,19.047619047619047
E02000250,20,3,15.0
E02000251,20,0,0.0
E02000252,29,1,3.4482758620689653
E02000253,31,2,6.451612903225806
E02000254,21,0,0.0
E02000255,30,3,10.0
E02000256,31,2,6.451612903225806
E02000258,19,0,0.0
E02000259,18,5,27.77777777777778
E02000260,21,0,0.0
E02000261,36,3,8.333333333333332
E02000262,28,2,7.142857142857142
E02000263,30,0,0.0
E02000264,24,3,12.5
E02000265,33,0,0.0
E02000266,33,2,6.0606060606060606
E02000267,22,2,9.090909090909092
E02000268,31,6,19.35483870967742
E02000269,26,2,7.6923076923076925
E02000270,32,0,0.0
E02000271,23,4,17.391304347826086
E02000272,21,2,9.523809523809524
E02000275,18,1,5.555555555555555
E02000276,21,3,14.285714285714285
E02000277,20,3,15.0
E02000278,25,3,12.0
E02000279,33,1,3.0303030303030303
E02000280,27,6,22.22222222222222
E02000281,28,4,14.285714285714285
E02000282,26,4,15.384615384615385
E02000283,21,1,4.761904761904762
E02000284,26,2,7.6923076923076925
E02000285,20,6,30.0
E02000286,29,4,13.793103448275861
E02000287,21,5,23.809523809523807
E02000288,34,0,0.0
E02000289,19,2,10.526315789473683
E02000290,20,1,5.0
E02000291,31,4,12.903225806451612
E02000292,27,2,7.4074074074074066
E02000293,19,2,10.526315789473683
E02000294,24,0,0.0
E02000295,26,5,19.230769230769234
E02000296,30,3,10.0
E02000297,28,4,14.285714285714285
E02000298,25,1,4.0
E02000299,25,0,0.0
E02000300,23,0,0.0
E02000301,31,3,9.67741935483871
E02000302,24,9,37.5
E02000303,23,3,13.043478260869565
E02000304,22,1,4.545454545454546
E02000305,25,3,12.0
E02000306,26,3,11.538461538461538
E02000307,26,0,0.0
E02000308,22,1,4.545454545454546
E02000309,31,2,6.451612903225806
E02000311,28,0,0.0
E02000312,32,6,18.75
E02000313,20,0,0.0
E02000314,38,2,5.263157894736842
E02000315,28,1,3.571428571428571
E02000317,23,0,0.0
E02000318,28,1,3.571428571428571
E02000319,32,1,3.125
E02000320,20,1,5.0
E02000321,23,0,0.0
E02000323,36,0,0.0
E02000324,21,1,4.761904761904762
E02000326,25,1,4.0
E02000327,20,0,0.0
E02000328,27,3,11.11111111111111
E02000329,20,7,35.0
E02000331,26,3,11.538461538461538
E02000332,23,4,17.391304347826086
E02000333,23,7,30.434782608695656
E02000334,21,9,42.857142857142854
E02000335,21,5,23.809523809523807
E02000337,24,5,20.833333333333336
E02000339,21,2,9.523809523809524
E02000340,24,3,12.5
E02000341,25,1,4.0
E02000342,16,3,18.75
E02000343,22,3,13.636363636363635
E02000344,20,2,10.0
E02000345,22,2,9.090909090909092
E02000346,29,0,0.0
E02000347,23,2,8.695652173913043
E02000348,23,1,4.3478260869565215
E02000350,26,4,15.384615384615385
E02000351,32,3,9.375
E02000352,22,4,18.181818181818183
E02000353,23,6,26.08695652173913
E02000354,28,3,10.714285714285714
E02000355,21,3,14.285714285714285
E02000356,22,4,18.181818181818183
E02000357,21,0,0.0
E02000358,33,2,6.0606060606060606
E02000359,19,3,15.789473684210526
E02000360,35,4,11.428571428571429
E02000361,24,0,0.0
E02000362,21,0,0.0
E02000363,35,0,0.0
E02000364,32,5,15.625
E02000366,30,5,16.666666666666664
E02000367,33,3,9.090909090909092
E02000368,30,1,3.3333333333333335
E02000369,41,0,0.0
E02000370,31,0,0.0
E02000372,32,1,3.125
E02000373,20,4,20.0
E02000374,20,1,5.0
E02000375,28,1,3.571428571428571
E02000376,22,0,0.0
E02000377,27,3,11.11111111111111
E02000378,27,2,7.4074074074074066
E02000379,27,3,11.11111111111111
E02000380,22,3,13.636363636363635
E02000381,28,2,7.142857142857142
E02000382,23,2,8.695652173913043
E02000383,32,1,3.125
E02000384,29,0,0.0
E02000385,25,2,8.0
E02000386,28,1,3.571428571428571
E02000387,20,1,5.0
E02000388,30,1,3.3333333333333335
E02000389,30,3,10.0
E02000390,20,1,5.0
E02000391,26,4,15.384615384615385
E02000392,33,7,21.21212121212121
E02000393,20,8,40.0
E02000394,34,8,23.52941176470588
E02000395,22,2,9.090909090909092
E02000396,21,2,9.523809523809524
E02000397,23,2,8.695652173913043
E02000398,21,4,19.047619047619047
E02000400,23,2,8.695652173913043
E02000401,18,1,5.555555555555555
E02000402,19,0,0.0
E02000403,21,0,0.0
E02000404,17,4,23.52941176470588
E02000405,19,3,15.789473684210526
E02000406,20,1,5.0
E02000407,20,3,15.0
E02000408,21,1,4.761904761904762
E02000409,18,2,11.11111111111111
E02000410,21,1,4.761904761904762
E02000411,32,2,6.25
E02000412,20,0,0.0
E02000413,25,4,16.0
E02000414,19,4,21.052631578947366
E02000415,19,2,10.526315789473683
E02000416,30,4,13.333333333333334
E02000417,23,2,8.695652173913043
E02000418,18,2,11.11111111111111
E02000419,23,0,0.0
E02000420,24,0,0.0
E02000421,23,0,0.0
E02000422,21,2,9.523809523809524
E02000423,19,3,15.789473684210526
E02000424,20,5,25.0
E02000425,18,1,5.555555555555555
E02000426,23,5,21.73913043478261
E02000427,20,1,5.0
E02000428,22,1,4.545454545454546
E02000429,26,6,23.076923076923077
E02000430,24,9,37.5
E02000431,24,5,20.833333333333336
E02000432,23,7,30.434782608695656
E02000433,27,2,7.4074074074074066
E02000434,29,3,10.344827586206897
E02000435,23,1,4.3478260869565215
E02000436,17,3,17.647058823529413
E02000437,24,1,4.166666666666666
E02000438,23,2,8.695652173913043
E02000439,22,0,0.0
E02000440,23,2,8.695652173913043
E02000441,22,2,9.090909090909092
E02000442,21,0,0.0
E02000443,25,1,4.0
E02000444,19,3,15.789473684210526
E02000445,30,3,10.0
E02000447,21,2,9.523809523809524
E02000448,20,3,15.0
E02000449,20,1,5.0
E02000451,18,5,27.77777777777778
E02000452,26,1,3.8461538461538463
E02000453,22,2,9.090909090909092
E02000454,20,4,20.0
E02000455,36,2,5.555555555555555
E02000456,21,3,14.285714285714285
E02000457,20,2,10.0
E02000459,24,0,0.0
E02000460,18,1,5.555555555555555
E02000461,21,4,19.047619047619047
E02000462,18,0,0.0
E02000463,23,1,4.3478260869565215
E02000464,23,2,8.695652173913043
E02000465,28,4,14.285714285714285
E02000466,26,1,3.8461538461538463
E02000467,34,6,17.647058823529413
E02000468,25,4,16.0
E02000469,20,4,20.0
E02000470,32,6,18.75
E02000471,23,1,4.3478260869565215
E02000472,28,4,14.285714285714285
E02000473,30,4,13.333333333333334
E02000474,27,3,11.11111111111111
E02000475,32,4,12.5
E02000476,29,2,6.896551724137931
E02000477,28,2,7.142857142857142
E02000478,17,1,5.88235294117647
E02000479,26,3,11.538461538461538
E02000480,35,8,22.857142857142858
E02000481,26,4,15.384615384615385
E02000482,20,1,5.0
E02000483,26,5,19.230769230769234
E02000484,25,1,4.0
E02000485,26,7,26.923076923076923
E02000486,23,4,17.391304347826086
E02000487,24,2,8.333333333333332
E02000488,23,1,4.3478260869565215
E02000489,25,2,8.0
E02000490,26,4,15.384615384615385
E02000491,30,3,10.0
E02000492,20,0,0.0
E02000493,18,4,22.22222222222222
E02000494,25,5,20.0
E02000495,32,6,18.75
E02000496,25,4,16.0
E02000497,29,7,24.137931034482758
E02000498,21,1,4.761904761904762
E02000499,24,6,25.0
E02000500,24,1,4.166666666666666
E02000501,25,1,4.0
E02000502,27,3,11.11111111111111
E02000503,26,4,15.384615384615385
E02000504,23,1,4.3478260869565215
E02000506,22,2,9.090909090909092
E02000507,22,5,22.727272727272727
E02000508,33,3,9.090909090909092
E02000509,25,2,8.0
E02000510,26,4,15.384615384615385
E02000511,25,1,4.0
E02000512,23,2,8.695652173913043
E02000513,25,1,4.0
E02000514,24,0,0.0
E02000515,39,4,10.256410256410255
E02000516,23,0,0.0
E02000517,26,0,0.0
E02000518,25,6,24.0
E02000519,22,1,4.545454545454546
E02000520,34,0,0.0
E02000521,34,2,5.88235294117647
E02000522,27,6,22.22222222222222
E02000523,29,1,3.4482758620689653
E02000524,20,3,15.0
E02000525,25,0,0.0
E02000526,26,5,19.230769230769234
E02000529,25,1,4.0
E02000530,18,2,11.11111111111111
E02000531,39,1,2.564102564102564
E02000532,31,2,6.451612903225806
E02000533,29,7,24.137931034482758
E02000534,22,1,4.545454545454546
E02000535,22,1,4.545454545454546
E02000536,25,0,0.0
E02000537,23,0,0.0
E02000538,22,0,0.0
E02000539,34,5,14.705882352941178
E02000540,34,6,17.647058823529413
E02000541,24,1,4.166666666666666
E02000542,31,6,19.35483870967742
E02000543,33,4,12.121212121212121
E02000544,22,4,18.181818181818183
E02000545,27,0,0.0
E02000546,25,0,0.0
E02000547,28,2,7.142857142857142
E02000548,26,3,11.538461538461538
E02000549,31,2,6.451612903225806
E02000550,31,4,12.903225806451612
E02000551,27,2,7.4074074074074066
E02000552,26,5,19.230769230769234
E02000553,20,1,5.0
E02000554,33,4,12.121212121212121
E02000555,30,3,10.0
E02000556,38,2,5.263157894736842
E02000557,33,4,12.121212121212121
E02000558,29,0,0.0
E02000559,28,2,7.142857142857142
E02000560,25,1,4.0
E02000561,24,5,20.833333333333336
E02000562,27,2,7.4074074074074066
E02000563,31,2,6.451612903225806
E02000564,40,3,7.5
E02000565,27,2,7.4074074074074066
E02000566,31,4,12.903225806451612
E02000567,36,4,11.11111111111111
E02000568,35,0,0.0
E02000569,36,7,19.444444444444446
E02000570,30,9,30.0
E02000571,31,2,6.451612903225806
E02000572,27,1,3.7037037037037033
E02000573,36,4,11.11111111111111
